Unnamed: 0,mid,uid,个人昵称,个人主页,发布时间,内容来自,展示内容,全部内容,转发数量,评论数量,点赞数量,展示内容_情感分析,全部内容_情感分析
93,5037718730442013,6523928048,爱有千万种遗憾各不同,https://weibo.com/6523928048,05月25日 00:46,布丁狗的贝雷帽,#福州大学#,,0,0,1,"{'惊讶': 0.8949933052062988, '愤怒': 0.6661723852157593, '中性': 0.47691425681114197, '悲伤': 0.44828498363494873, '恐惧': 0.409610390663147, '厌恶': 0.11851008236408234, '喜悦': 0.09603501111268997}",{'error': '文本为空'}
94,5037713183211797,6179185806,好运连连招财进宝福多多万事顺意,https://weibo.com/6179185806,05月25日 00:24,荣耀50 Pro 5G,#福州大学#辅导员是男的。。。🤔​,,0,0,1,"{'惊讶': 0.9285473823547363, '中性': 0.8212124109268188, '愤怒': 0.798777163028717, '厌恶': 0.7298592925071716, '悲伤': 0.49620774388313293, '恐惧': 0.4759529232978821, '喜悦': 0.07695629447698593}",{'error': '文本为空'}
95,5037487653391518,5224009387,土味阿姨,https://weibo.com/5224009387,05月24日 23:23,,真恶心啊#福州大学#​,,10,9,165,"{'愤怒': 0.9980025291442871, '厌恶': 0.9928566813468933, '恐惧': 0.9772114157676697, '悲伤': 0.7574077844619751, '惊讶': 0.6245141625404358, '中性': 0.0012410137569531798, '喜悦': 0.0002619488222990185}",{'error': '文本为空'}
96,5037682839000615,5016533977,鸢尾花的徽-章,https://weibo.com/5016533977,05月24日 22:24,Redmi K40,#福州大学#这位辅导员是谁呀，有人知道吗?​,,0,0,2,"{'惊讶': 0.9774950742721558, '愤怒': 0.6424528956413269, '厌恶': 0.3464359939098358, '中性': 0.30770280957221985, '恐惧': 0.26092246174812317, '悲伤': 0.11825830489397049, '喜悦': 0.0026762995403259993}",{'error': '文本为空'}
97,5037560877813219,7270643484,长谷川大桃子,https://weibo.com/7270643484,05月24日 14:19,微博极速版,#福州大学#能不能别叫男生了好恶​,,0,0,2,"{'愤怒': 0.9789227843284607, '厌恶': 0.9579447507858276, '惊讶': 0.8795517086982727, '恐惧': 0.8402181267738342, '悲伤': 0.49951788783073425, '中性': 0.0075690350495278835, '喜悦': 0.0015527420910075307}",{'error': '文本为空'}
98,5037554586355039,1360306077,左岸朝颜青芜老,https://weibo.com/1360306077,05月24日 13:54,vivo X100,#福州大学#@福州大学🗡//@失忆蝴蝶完成雪人小狗:@福州大学下🗡️东西//@柹桉:211也会发生这种事吗？@福州大学福大还开着法学吧，为人师表，以身作则是假的吗？真让人寒心,,1,0,0,"{'厌恶': 0.9851390719413757, '恐惧': 0.9775190353393555, '愤怒': 0.6079753041267395, '惊讶': 0.5794855952262878, '悲伤': 0.1567329317331314, '中性': 0.004087673034518957, '喜悦': 0.00027438101824373007}",{'error': '文本为空'}
99,5037550706622668,7764499031,幼恩葵葵,https://weibo.com/7764499031,05月24日 13:39,Android,#福州大学#1​,,0,2,0,"{'惊讶': 0.9202895164489746, '愤怒': 0.5999642610549927, '中性': 0.5273268818855286, '悲伤': 0.33951517939567566, '喜悦': 0.2600431442260742, '恐惧': 0.18876038491725922, '厌恶': 0.0812549963593483}",{'error': '文本为空'}
100,5037545321398528,6034428171,微妙的粉色海草饭,https://weibo.com/6034428171,05月24日 13:17,iPhone客户端,#福州大学#以这种方式认识你。。。你们这所学校不把辅导员和那b男一起开了那么你们的校史上会永远留下污点,,0,1,5,"{'惊讶': 0.8054959774017334, '厌恶': 0.657002329826355, '愤怒': 0.3283204436302185, '中性': 0.053254906088113785, '恐惧': 0.03823425993323326, '悲伤': 0.003734347876161337, '喜悦': 0.0002925968437921256}",{'error': '文本为空'}
101,5037487628751076,2083020235,科普小天下,https://weibo.com/2083020235,05月24日 13:04,,这事，还是先冷静下吃个瓜再看吧！毕竟，21世纪最大的谎言是“哪个女孩子会用自己的清白开玩笑”，，当然，这事有很大的疑惑，希望调查清楚，还真相一个大白。此时此刻，我们应该以官方为准，不信谣，不传谣，不造谣，做一个遵纪守法的好公民。#福州大学一男生猥亵女生##福州大学#​​​,,0,3,30,"{'惊讶': 0.9462677240371704, '中性': 0.9028925895690918, '厌恶': 0.6467025876045227, '愤怒': 0.6430484056472778, '恐惧': 0.42086389660835266, '悲伤': 0.10928963869810104, '喜悦': 0.0014767746906727552}",{'error': '文本为空'}
102,5037524986368750,6029303418,Fancyxeee,https://weibo.com/6029303418,05月24日 11:56,iPhone客户端,#福州大学#凭什么热度这么低，垃圾恋爱脑都一堆沙雕在那拥护​,,0,0,0,"{'惊讶': 0.9845866560935974, '中性': 0.7078364491462708, '愤怒': 0.3590145409107208, '悲伤': 0.11478912830352783, '喜悦': 0.016415178775787354, '恐惧': 0.011151154525578022, '厌恶': 0.005900944583117962}",{'error': '文本为空'}
103,5037519470858627,6087983581,汣汣菻菻遗,https://weibo.com/6087983581,05月24日 11:34,微博轻享版,#福州大学#....现在说让子弹飞一会...之前胖猫事件的时候倒是恨不得子弹直接射死女方....晦气...​,,0,0,3,"{'恐惧': 0.9150941967964172, '愤怒': 0.8873975872993469, '厌恶': 0.857779324054718, '惊讶': 0.7725749015808105, '悲伤': 0.7005907893180847, '中性': 0.03913067281246185, '喜悦': 0.0005952982464805245}",{'error': '文本为空'}
104,5037514996318750,6192449025,芒果味妙脆角,https://weibo.com/6192449025,05月24日 11:17,HUAWEI P60,#福州大学一男生猥亵女生#30岁男生叫家长，好小众的文字#福州大学#​,,0,0,2,"{'惊讶': 0.8343449234962463, '愤怒': 0.5740448832511902, '厌恶': 0.3433784544467926, '恐惧': 0.14972925186157227, '中性': 0.017781712114810944, '悲伤': 0.00514910789206624, '喜悦': 0.0015431438805535436}",{'error': '文本为空'}
105,5037295279539668,1634463250,Joyce_He勇敢点,https://weibo.com/1634463250,05月24日 10:41,HUAWEI Mate 30 5G,关闭评论就觉得没有这件事了么？辣鸡福州大学#福州大学#这种辅导员留着过年呢？,,0,0,34,"{'惊讶': 0.9470903873443604, '愤怒': 0.7222191095352173, '厌恶': 0.22985123097896576, '恐惧': 0.06874432414770126, '中性': 0.05382587015628815, '悲伤': 0.037505291402339935, '喜悦': 0.001531026093289256}",{'error': '文本为空'}
106,5037451523916645,2760713855,拉卡贝拉_,https://weibo.com/2760713855,05月24日 07:04,iPhone客户端,#福州大学#请学校回应​,,0,0,1,"{'惊讶': 0.9002361297607422, '中性': 0.6453078389167786, '愤怒': 0.46798333525657654, '悲伤': 0.3436988592147827, '恐惧': 0.29616469144821167, '厌恶': 0.062375109642744064, '喜悦': 0.06115005165338516}",{'error': '文本为空'}
107,5037363048482539,7772719241,兔子小姐的炸梨酥,https://weibo.com/7772719241,05月24日 01:13,福州大学超话,福州大学超话负大负大负大负大负大负大负大负大你死了你死了你死了你死了你死了你死了你死了你死了出些事情就知道拿着钱撤热搜删评论真是有担当教导学生做人做事要有担当有责任到你们这呢？一个比一个恶心怎么滴受害者不是你，你就无关​展开,福州大学超话负大负大负大负大负大负大负大负大你死了你死了你死了你死了你死了你死了你死了你死了出些事情就知道拿着钱撤热搜删评论真是有担当教导学生做人做事要有担当有责任到你们这呢？一个比一个恶心怎么滴受害者不是你，你就无关紧要高高在上了等着吧下一个就是你#福州大学一男生猥亵女生##福州大学#,0,0,1,"{'悲伤': 0.5673174858093262, '愤怒': 0.37951600551605225, '厌恶': 0.2934015393257141, '惊讶': 0.18742258846759796, '中性': 0.11682363599538803, '恐惧': 0.01684470660984516, '喜悦': 0.00022039617761038244}","{'愤怒': 0.9009117484092712, '厌恶': 0.8114569187164307, '悲伤': 0.6197696328163147, '惊讶': 0.6141291260719299, '恐惧': 0.03411943465471268, '中性': 0.0029572106432169676, '喜悦': 0.0003429776697885245}"
108,5037361164977563,6189048525,科九-nine_G,https://weibo.com/6189048525,05月24日 01:05,vivo Y52s高清影像,#福州大学#福大你，丢人现眼​,,0,1,0,"{'愤怒': 0.9876287579536438, '厌恶': 0.9693945050239563, '惊讶': 0.9344750642776489, '悲伤': 0.6740309596061707, '恐惧': 0.6360385417938232, '中性': 0.2314738780260086, '喜悦': 0.001396636012941599}",{'error': '文本为空'}
109,5037324793021340,6441730235,REW0N1BAS1,https://weibo.com/6441730235,05月24日 00:26,小米青春版iPhone 14 Pro,#福州大学#原帖刚看完不到五分钟被秒删学校可以重视下吗好多朋友在这里读招生减章…​,,0,4,30,"{'惊讶': 0.7984012961387634, '中性': 0.35595884919166565, '愤怒': 0.15566588938236237, '悲伤': 0.1156209409236908, '恐惧': 0.031482137739658356, '厌恶': 0.014215987175703049, '喜悦': 0.0022704724688082933}",{'error': '文本为空'}
110,5037351185419089,5977411026,_芭芭拉巴巴o3o,https://weibo.com/5977411026,05月24日 00:26,Android,#福州大学#OUT！！​,,0,2,1,"{'愤怒': 0.9931583404541016, '厌恶': 0.9830589890480042, '惊讶': 0.982808530330658, '悲伤': 0.8080629706382751, '恐惧': 0.805548369884491, '中性': 0.25057700276374817, '喜悦': 0.06275257468223572}",{'error': '文本为空'}
111,5037344961073104,7737465037,才不是布袋,https://weibo.com/7737465037,05月24日 00:01,iPhone客户端,#福州大学#滚​,,0,0,0,"{'愤怒': 0.995631217956543, '惊讶': 0.9634116888046265, '厌恶': 0.9573209285736084, '恐惧': 0.6407824754714966, '中性': 0.5467929840087891, '悲伤': 0.4348692297935486, '喜悦': 0.004486680496484041}",{'error': '文本为空'}
112,5037342072507360,6298060117,Danae圈地自萌,https://weibo.com/6298060117,05月23日 23:50,iPhone客户端,#福州大学#这个大学这么恶心嘛这个女生可能说对了，对于男辅导员来说，觉得女生被摸摸碰碰没什么这种辅导员和那个学院领导都应该被开除，且在档案中重重的记一笔！​,,0,0,1,"{'厌恶': 0.9973258376121521, '愤怒': 0.995545506477356, '惊讶': 0.9091018438339233, '恐惧': 0.6710834503173828, '悲伤': 0.18417254090309143, '中性': 0.006667588837444782, '喜悦': 0.0003874320536851883}",{'error': '文本为空'}
113,5037341840245847,5651514532,八重Chitose,https://weibo.com/5651514532,05月23日 23:49,iPhone 15 Plus(粉色),#福州大学#垃圾就是垃圾上了985211一样是垃圾​,,0,0,0,"{'惊讶': 0.7974054217338562, '厌恶': 0.6304512023925781, '愤怒': 0.40681853890419006, '悲伤': 0.12311525642871857, '中性': 0.10503297299146652, '恐惧': 0.018287749961018562, '喜悦': 0.0008009520242922008}",{'error': '文本为空'}
114,5037340361491134,3219024913,烨磊新蕾,https://weibo.com/3219024913,05月23日 23:43,,#福州大学##福州大学一男生猥亵女生#网传：女生报告辅导员，被要求冷处理；女生报警，猥亵男被拘留15天。这辅导员真是凌驾于法律之上啊，什么水平这网传属实不，期待辅导员可以发声回应，男生同时宿舍的任发声#福大回应女生在校内电梯遭男生猥亵#​,,1,0,3,"{'惊讶': 0.7340749502182007, '愤怒': 0.5246292352676392, '厌恶': 0.48845115303993225, '恐惧': 0.22646377980709076, '悲伤': 0.1266299933195114, '中性': 0.0015575808938592672, '喜悦': 0.0005910829640924931}",{'error': '文本为空'}
115,5037334728281608,6537581745,Tsing_degoa,https://weibo.com/6537581745,05月23日 23:20,iPhone 14 Pro Max,#福州大学#恶心男人建议直接消灭​,,0,0,4,"{'愤怒': 0.9957195520401001, '厌恶': 0.9942600727081299, '恐惧': 0.7968725562095642, '惊讶': 0.7542900443077087, '悲伤': 0.1335892230272293, '中性': 0.03777197375893593, '喜悦': 0.0005784434033557773}",{'error': '文本为空'}
116,5037325862307920,7550798390,没有田鱼,https://weibo.com/7550798390,05月23日 22:45,田鱼的池塘Android,#福州大学#辅导员和内男的都不是好东西​,,0,0,0,"{'厌恶': 0.9692729711532593, '惊讶': 0.7939115762710571, '愤怒': 0.7589640617370605, '恐惧': 0.641263484954834, '悲伤': 0.5078358054161072, '中性': 0.21752990782260895, '喜悦': 0.0003592332068365067}",{'error': '文本为空'}
117,5037325669371389,7752182925,用户7752182925,https://weibo.com/7752182925,05月23日 22:44,iPhone客户端,#福州大学##福州大学一男生猥亵女生#管不住下半身的男的就应该放在监狱里好好管​,,0,0,1,"{'惊讶': 0.6748007535934448, '愤怒': 0.5692346692085266, '厌恶': 0.46823182702064514, '恐惧': 0.3616163730621338, '悲伤': 0.06444984674453735, '中性': 0.008480312302708626, '喜悦': 0.0018247028347104788}",{'error': '文本为空'}
118,5037266419844277,1897723622,法治四川,https://weibo.com/1897723622,05月23日 22:40,依法治省办Android,【什么行为算猥亵、性骚扰？法律后果是什么？】猥亵、强奸的法律后果有哪些？违法犯罪行为定会受到法律的严惩！详戳学法↓via~广东公安、正义网@四川监狱@天府气象@贵港共青团转给更多人学法守法​​​​​网友讨论～#福州大学一男生猥亵女生##福州大学#，​展开,【什么行为算猥亵、性骚扰？法律后果是什么？】猥亵、强奸的法律后果有哪些？违法犯罪行为定会受到法律的严惩！详戳学法↓via~广东公安、正义网@四川监狱@天府气象@贵港共青团转给更多人学法守法​​​​​网友讨论～#福州大学一男生猥亵女生##福州大学#，#道路千万条守法第一条#,62,36,75,"{'惊讶': 0.6879692077636719, '愤怒': 0.5104550719261169, '厌恶': 0.1001306027173996, '悲伤': 0.08920952677726746, '中性': 0.060448069125413895, '恐惧': 0.046102896332740784, '喜悦': 0.0019648559391498566}","{'惊讶': 0.5602842569351196, '愤怒': 0.3183876872062683, '悲伤': 0.04083279147744179, '恐惧': 0.025968419387936592, '厌恶': 0.017911475151777267, '中性': 0.01090445090085268, '喜悦': 0.0012245734687894583}"
119,5037324081825099,7852381073,酱子哥的小海绵,https://weibo.com/7852381073,05月23日 22:38,全屏双摄 OPPO A5,#福州大学#我靠炸裂了​,,0,0,0,"{'愤怒': 0.9978193640708923, '惊讶': 0.9859651923179626, '恐惧': 0.7164310216903687, '喜悦': 0.26648810505867004, '厌恶': 0.02200135961174965, '悲伤': 0.01325917523354292, '中性': 0.006775551475584507}",{'error': '文本为空'}
120,5037324053778170,7612807226,老公你的帅气掉了,https://weibo.com/7612807226,05月23日 22:38,nova 9 精彩由我摄定,#福州大学#真是服了必须严惩​,,0,1,1,"{'愤怒': 0.7970349192619324, '惊讶': 0.7869039177894592, '恐惧': 0.46783363819122314, '悲伤': 0.29912829399108887, '厌恶': 0.0362839549779892, '中性': 0.0045842500403523445, '喜悦': 0.001878889393992722}",{'error': '文本为空'}
121,5037323972512611,7590217837,好像是妹宝,https://weibo.com/7590217837,05月23日 22:38,vivo S7轻薄自拍旗舰,#福州大学#逆天福大以后还有人想报吗​,,0,0,0,"{'惊讶': 0.8121488690376282, '愤怒': 0.5986257791519165, '恐惧': 0.5191582441329956, '中性': 0.08741527050733566, '悲伤': 0.03507908806204796, '厌恶': 0.009296982549130917, '喜悦': 0.007876092568039894}",{'error': '文本为空'}
122,5037323062346652,5365577777,Ky1e_g,https://weibo.com/5365577777,05月23日 22:34,iPhone客户端,#福州大学#不讨论此事情，就说大学辅导员基本都这个尿性，应该没人反对吧？（虽然辅导员也是干活办事，说了也不算，得听校领导的）​,,0,0,0,"{'愤怒': 0.9699625372886658, '厌恶': 0.9357061982154846, '恐惧': 0.797820508480072, '惊讶': 0.748132050037384, '悲伤': 0.4681280553340912, '中性': 0.1371641904115677, '喜悦': 0.0007953133317641914}",{'error': '文本为空'}
123,5037321084210754,6091394081,Ziilynn00_,https://weibo.com/6091394081,05月23日 22:26,iPhone客户端,#福州大学#神经学校神经辅导员​,,0,2,2,"{'惊讶': 0.8446108102798462, '愤怒': 0.15127946436405182, '悲伤': 0.14648857712745667, '中性': 0.0669240653514862, '喜悦': 0.03231516852974892, '恐惧': 0.01922791264951229, '厌恶': 0.0072480193339288235}",{'error': '文本为空'}
124,5037318002180680,1898697157,marco滴麻麻,https://weibo.com/1898697157,05月23日 22:14,iPhone 15 Pro Max,#福州大学#这辅导员辅导个屁啊！​,,0,0,0,"{'愤怒': 0.9974886775016785, '惊讶': 0.9964365363121033, '厌恶': 0.7560203671455383, '恐惧': 0.6313875317573547, '中性': 0.24756191670894623, '喜悦': 0.1638725996017456, '悲伤': 0.08429116755723953}",{'error': '文本为空'}
125,5037316505339575,5857331318,爆辣爆辣炒米粉,https://weibo.com/5857331318,05月23日 22:08,iPhone客户端,#福州大学#什么垃圾学校劝退！​,,0,0,0,"{'厌恶': 0.9941776394844055, '惊讶': 0.9916805028915405, '愤怒': 0.9850153923034668, '恐惧': 0.8819055557250977, '悲伤': 0.1955108940601349, '中性': 0.04952210932970047, '喜悦': 0.0050526149570941925}",{'error': '文本为空'}
126,5037314984379732,1253169645,o用户名已被占用o,https://weibo.com/1253169645,05月23日 22:02,OPPO Reno5 Pro+ 5G,#福州大学#手这么欠管不住自己，就剁了吧​,,0,0,0,"{'惊讶': 0.910515546798706, '愤怒': 0.8950749635696411, '厌恶': 0.7595929503440857, '恐惧': 0.583562433719635, '悲伤': 0.5236867666244507, '中性': 0.08433829247951508, '喜悦': 0.002464719582349062}",{'error': '文本为空'}
127,5037308426588881,6436333126,-寻迪冒险记,https://weibo.com/6436333126,05月23日 21:36,捣蛋的小鬼,#福州大学#管理不好下半身的直接割了吧还要着干嘛​,,0,0,0,"{'惊讶': 0.9114222526550293, '愤怒': 0.8349069952964783, '厌恶': 0.6743306517601013, '恐惧': 0.39275243878364563, '悲伤': 0.3700449466705322, '中性': 0.0402497872710228, '喜悦': 0.0032846336252987385}",{'error': '文本为空'}
128,5037308313866722,3219024913,烨磊新蕾,https://weibo.com/3219024913,05月23日 21:35,,#福大回应女生在校内电梯遭男生猥亵##福州大学##福州大学一男生猥亵女生#静候警方调查结果，期待学校通报，如果事情是如此，那这个辅导员应该会被处分，作为老师竟然不替受害者着想反而偏袒加害者。还有猥亵者管不住自己的话可以割了的！​如果不属实，女生要为自己的行为和言论承担谣言的责任，并​展开,#福大回应女生在校内电梯遭男生猥亵##福州大学##福州大学一男生猥亵女生#静候警方调查结果，期待学校通报，如果事情是如此，那这个辅导员应该会被处分，作为老师竟然不替受害者着想反而偏袒加害者。还有猥亵者管不住自己的话可以割了的！​如果不属实，女生要为自己的行为和言论承担谣言的责任，并得给辅导员和男生道歉。,0,5,7,"{'惊讶': 0.7937892079353333, '愤怒': 0.6807583570480347, '厌恶': 0.5321134924888611, '恐惧': 0.4251105487346649, '悲伤': 0.18106652796268463, '中性': 0.007880359888076782, '喜悦': 0.000444531615357846}","{'惊讶': 0.900229811668396, '愤怒': 0.6611486673355103, '厌恶': 0.5238508582115173, '恐惧': 0.4440205991268158, '悲伤': 0.2436208724975586, '中性': 0.03033616952598095, '喜悦': 0.00041176745435222983}"
129,5037308309670016,1242839362,吴彦军,https://weibo.com/1242839362,05月23日 21:35,忽如远行客Android,#福州大学#这下好了，真是出了个大名声。马上又是高考报名的时间，算是开了个好头。福州大学欢迎你，首先教你和稀泥！​,,0,0,2,"{'中性': 0.9911370873451233, '惊讶': 0.9230586886405945, '喜悦': 0.06416914612054825, '愤怒': 0.00642630597576499, '恐惧': 0.005805209279060364, '厌恶': 0.001030907267704606, '悲伤': 0.0004571723402477801}",{'error': '文本为空'}
130,5037305809344918,6262940690,U_XIYO,https://weibo.com/6262940690,05月23日 21:25,iPhone客户端,#福州大学#为不公发声​,,0,0,0,"{'愤怒': 0.9081688523292542, '惊讶': 0.8341525793075562, '厌恶': 0.6650606393814087, '恐惧': 0.4437192976474762, '悲伤': 0.32495489716529846, '中性': 0.005027678795158863, '喜悦': 0.0017447315622121096}",{'error': '文本为空'}
131,5037305706318551,6775173966,刘耀文的胸肌,https://weibo.com/6775173966,05月23日 21:25,iPhone客户端,#福州大学#哪个校区的​,,0,0,0,"{'惊讶': 0.9186217784881592, '愤怒': 0.3508414626121521, '中性': 0.32675549387931824, '悲伤': 0.20977576076984406, '恐惧': 0.08929919451475143, '厌恶': 0.07137154042720795, '喜悦': 0.04563562572002411}",{'error': '文本为空'}
132,5037305138512841,2352241612,阿万zsw,https://weibo.com/2352241612,05月23日 21:23,iPhone客户端,#福州大学#你福特色包庇的事儿还少吗​,,0,0,0,"{'惊讶': 0.6835910677909851, '中性': 0.2946571409702301, '恐惧': 0.035407595336437225, '悲伤': 0.006171426270157099, '愤怒': 0.005947914905846119, '厌恶': 0.004618155770003796, '喜悦': 0.0019841839093714952}",{'error': '文本为空'}
133,5037303615980711,7330052343,想学会所有语言的大聪明,https://weibo.com/7330052343,05月23日 21:17,好动的ESTP,#福州大学一男生猥亵女生##福州大学#真的二流院校这种事情好多差大学就是差有些人连老师这两个字都不配​,,0,6,9,"{'厌恶': 0.7511282563209534, '惊讶': 0.651881754398346, '愤怒': 0.3967892527580261, '恐惧': 0.16742417216300964, '悲伤': 0.03840694949030876, '中性': 0.009145703166723251, '喜悦': 0.0013367274077609181}",{'error': '文本为空'}
134,5037302642380840,5524391896,Prayforyouandme_,https://weibo.com/5524391896,05月23日 21:13,iPhone客户端,#福州大学#能不能取消辅导员制度啊，有事联系教务处，学国外那种，没有辅导员，没有班长啥的，公平一点，评各种奖项也就可以不用班长优先了​,,0,0,0,"{'中性': 0.9602836966514587, '惊讶': 0.8013834953308105, '喜悦': 0.006397781893610954, '愤怒': 0.0024402898270636797, '厌恶': 0.0021564995404332876, '恐惧': 0.0014702153857797384, '悲伤': 0.0012822020798921585}",{'error': '文本为空'}
135,5037300986416298,5890406062,Bucciarati的贴心小棉袄,https://weibo.com/5890406062,05月23日 21:06,OPPO Find X3,#福州大学#丑东西毕业了还要给我添堵，晦气​,,0,0,1,"{'愤怒': 0.9670245051383972, '厌恶': 0.9249228239059448, '恐惧': 0.5600073337554932, '惊讶': 0.5187867879867554, '悲伤': 0.4525601863861084, '中性': 0.0020944098941981792, '喜悦': 0.0003455771366134286}",{'error': '文本为空'}
136,5037299602297048,6063463799,逝去的青春印,https://weibo.com/6063463799,05月23日 21:01,HUAWEI P60 Pro,#福州大学#94年的高考考了很多年是什么鬼​,,0,0,1,"{'愤怒': 0.9950821399688721, '厌恶': 0.991033673286438, '恐惧': 0.9892750382423401, '惊讶': 0.9845556020736694, '悲伤': 0.12677131593227386, '中性': 0.006874952930957079, '喜悦': 0.0009046692866832018}",{'error': '文本为空'}
137,5037296283293549,6916916103,可能我是彩虹小狗,https://weibo.com/6916916103,05月23日 20:48,iPhone客户端,#福州大学#我的梦校以不可思议的方式火了​,,0,0,0,"{'惊讶': 0.9974055886268616, '愤怒': 0.8392584323883057, '喜悦': 0.6966273784637451, '中性': 0.13681134581565857, '恐惧': 0.130573570728302, '厌恶': 0.0038178670220077038, '悲伤': 0.0017137689283117652}",{'error': '文本为空'}
138,5037296114206661,7789807979,缺钙镁锌的懒羊羊,https://weibo.com/7789807979,05月23日 20:47,Hi nova 9 Pro,#福州大学#居然上热搜了​,,0,0,0,"{'惊讶': 0.9500818848609924, '愤怒': 0.6217626929283142, '喜悦': 0.5271090269088745, '中性': 0.32923394441604614, '恐惧': 0.3269753158092499, '悲伤': 0.07998314499855042, '厌恶': 0.01052825152873993}",{'error': '文本为空'}
139,5037295793079876,6747684244,汪汪小狗曲奇,https://weibo.com/6747684244,05月23日 20:46,iPhone 14 Pro Max,#福州大学#卧槽上热搜了。​,,0,0,1,"{'悲伤': 0.9987162947654724, '愤怒': 0.9964146018028259, '厌恶': 0.986339807510376, '惊讶': 0.9737804532051086, '恐惧': 0.8430201411247253, '中性': 0.6352274417877197, '喜悦': 0.0005871821194887161}",{'error': '文本为空'}
140,5037295006649983,7209866866,椒哥微记录,https://weibo.com/7209866866,05月23日 20:43,微博视频号,福大回应女生在校内电梯遭男生猥亵：警方已经介入，多方正在处理近日，福建福州。网传福州大学一男生猥亵女生。据网传信息显示，女生称自己在18日遭受猥亵后第一时间告知了辅导员，但辅导员却保持冷处理的态度，反复为对方开脱，避重就轻。最后选择报警，男子被拘留15日。对此，福州大学工作人员表​展开,福大回应女生在校内电梯遭男生猥亵：警方已经介入，多方正在处理近日，福建福州。网传福州大学一男生猥亵女生。据网传信息显示，女生称自己在18日遭受猥亵后第一时间告知了辅导员，但辅导员却保持冷处理的态度，反复为对方开脱，避重就轻。最后选择报警，男子被拘留15日。对此，福州大学工作人员表示，学校知晓此事，目前警方已经介入，多方正在处理。具体的管理细节日后也会加强。#福大回应女生在校内电梯遭男生猥亵##福州大学一男生猥亵女生##福州大学#椒哥微记录的微博视频,0,0,2,"{'中性': 0.7970114946365356, '厌恶': 0.7581062316894531, '惊讶': 0.6264036893844604, '愤怒': 0.4805832505226135, '恐惧': 0.44836652278900146, '悲伤': 0.25298452377319336, '喜悦': 0.000970873050391674}","{'中性': 0.8289638161659241, '厌恶': 0.7575863599777222, '惊讶': 0.7485337853431702, '愤怒': 0.5908013582229614, '恐惧': 0.5814436674118042, '悲伤': 0.3712185025215149, '喜悦': 0.0011685446370393038}"
141,5037290639069119,7240919775,娱乐吨吨机,https://weibo.com/7240919775,05月23日 20:25,,#福州大学#幸好有监控，希望学校抓紧处理而不是维护​,,0,0,0,"{'喜悦': 0.9354921579360962, '惊讶': 0.3055671751499176, '中性': 0.14955900609493256, '厌恶': 0.0018735589692369103, '恐惧': 0.0007117888308130205, '愤怒': 0.0005560768186114728, '悲伤': 0.0002544988237787038}",{'error': '文本为空'}
142,5037290424896620,2969123902,漂亮帅兔平举三百斤胡萝卜,https://weibo.com/2969123902,05月23日 20:24,iPhone客户端,#福州大学#这种事我必须掺和一下！！校方根本不把警方放在眼里！！知道为什么吗！！猥亵者可是男方！！中华文明传宗接代最重要的男方！！区区一个女人被猥亵在他们眼里算什么东西，他们当然得保护爱护开导男方了​,,0,0,5,"{'惊讶': 0.8624331951141357, '愤怒': 0.3753466010093689, '中性': 0.06977203488349915, '厌恶': 0.03936481848359108, '恐惧': 0.035644788295030594, '悲伤': 0.009187913499772549, '喜悦': 0.0021256799809634686}",{'error': '文本为空'}
143,5037290156726129,7562842618,每天都要吃好料,https://weibo.com/7562842618,05月23日 20:23,HUAWEI Mate 50 Pro,#福州大学#upup​,,0,0,0,"{'惊讶': 0.9135000109672546, '愤怒': 0.6421157717704773, '中性': 0.4750990867614746, '悲伤': 0.3430575728416443, '恐惧': 0.27148327231407166, '厌恶': 0.12834160029888153, '喜悦': 0.06494825333356857}",{'error': '文本为空'}
144,5037289850539487,7526835459,狗犼,https://weibo.com/7526835459,05月23日 20:22,iPhone客户端,#福州大学#我觉得还好没人骂他高考考了10年，不然蹲考5年咋算呢还有就是什么原生家庭不能开脱我也觉得有点矛盾，之前那个蹲考5年的新闻不就说是原生家庭害的吗？所以还是不要蹲考，与社会、至少是同龄人大多数走的路脱节可能会造成好多心理问题利益相关：大学留级转专业，约等于蹲考吧​,,0,0,1,"{'惊讶': 0.5708392858505249, '中性': 0.3198467493057251, '恐惧': 0.19056086242198944, '厌恶': 0.02654999867081642, '悲伤': 0.02086764946579933, '愤怒': 0.005128984805196524, '喜悦': 0.00037673141923733056}",{'error': '文本为空'}
145,5037289517879934,7561131071,澳洲鸭子在美国,https://weibo.com/7561131071,05月23日 20:21,iPad air,#福州大学#学校如何呢​,,0,0,0,"{'惊讶': 0.9408928751945496, '中性': 0.3181217312812805, '愤怒': 0.017436359077692032, '恐惧': 0.010079829022288322, '悲伤': 0.005526888649910688, '厌恶': 0.0011959800031036139, '喜悦': 0.0007936966721899807}",{'error': '文本为空'}
146,5037289449457564,7561131071,澳洲鸭子在美国,https://weibo.com/7561131071,05月23日 20:20,iPad air,#福州大学#dd​,,0,0,0,"{'惊讶': 0.9155086278915405, '愤怒': 0.6582464575767517, '中性': 0.5761181712150574, '悲伤': 0.39134618639945984, '恐惧': 0.2597702443599701, '厌恶': 0.11782116442918777, '喜悦': 0.058625102043151855}",{'error': '文本为空'}
